original_asiakastunnus,original_lupanumero,original_nimi,original_katuosoite,original_postinumero,original_postitoimipaikka,original_kunta,original_asiakkaan-nimi,original_alkamispaivamaara,original_paattamispaivamaara,lat,lon,formatted,name,housenumber,street,postcode,suburb,county,district,city,state,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
3418764-3,30883927,Toivon talo,Kanavatie 14,17200,VÄÄKSY,Asikkala,Salsa & CO Oy,11.03.2024,,61.1745117,25.5383766,"Toivon talo, Kanavatie 14, 17200 Asikkala, Suomi",Toivon talo,14,Kanavatie,17200,Ämmälänhaka,,Arola,Asikkala,Päijät-Häme,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0235641-4,1281062,Pörtom Uf,Österlandsvägen 3,66270,PIRTTIKYLÄ,Närpiö,Pörtom Ungdomsförening rf,01.03.2018,,62.7130271,21.6139955,"Österlandsvägen 3, 66270 Närpiö, Suomi",Österlandsvägen,3,Österlandsvägen,66270,,,,Närpiö,Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2394291-4,1038141,M-market Lukkari,Vionojantie 36,68370,ULLAVA,Kokkola,Ullavan Palveluosuuskunta,01.03.2018,,63.7046395,23.8955813,"Vionojantie 36, 68370 Kokkola, Suomi",Vionojantie,36,Vionojantie,68370,,,,Kokkola,Keski-Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3450829-1,30886124,Gaucho,Aleksanterinkatu 9,100,HELSINKI,Helsinki,Gaucho Gang Oy,01.12.2024,,60.1693226,24.947714,"Aleksanterinkatu 9, 00130 Helsinki, Suomi",,9,Aleksanterinkatu,00130,Keskusta,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3498853-9,30888180,Ravintola Finpal,Aleksis Kiven tie 2,2580,SIUNTIO,Siuntio,Tilakram Oy,01.07.2025,,60.1344029,24.228861700000003,"Aleksis Kiven tie 2, 02580 Siuntio, Suomi",,2,Aleksis Kiven tie,02580,Siuntion asema,,,Siuntio,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0664613-6,1076420,Ravintola Katiska,Iitintie 2,47400,KAUSALA,Iitti,Leipomo Seppo Varpenius Oy,14.03.2023,,60.88836805,26.336709953597868,"Iitintie 2, 47400 Kausala, Suomi",,2,Iitintie,47400,,,Mikkolanpelto,Kausala,Päijät-Häme,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3388398-9,30883021,Bar Simppa,Leinikkitie 20,1350,VANTAA,Vantaa,RIMZIM Oy,01.10.2023,,60.309583,25.0311647,"Eläinlääkäriasema Peninkulma, Leinikkitie 20, 01350 Vantaa, Suomi",Eläinlääkäriasema Peninkulma,20,Leinikkitie,01350,Simonkylä,,Tikkurilan suuralue,Vantaa,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2731313-8,1052818,Ravintola Vinkkeli,Korkeavuorenkatu 27,130,HELSINKI,Helsinki,Ravintola Vinkkeli Helsinki Oy,05.04.2017,,60.1638259,24.9462585,"Korkeavuorenkatu 27, 00130 Helsinki, Suomi",,27,Korkeavuorenkatu,00130,Ullanlinna,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2258791-4,1055742,Mashiro,Mäkelänkatu 22,510,HELSINKI,Helsinki,GYC Oy,28.12.2016,,60.1936602,24.9579562,"Mäkelänkatu 22, 00550 Helsinki, Suomi",,22,Mäkelänkatu,00550,Vallila,,Keskinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0212329-0,1050385,Solo Sokos Hotel Helsinki,Kluuvikatu 8,100,HELSINKI,Helsinki,Sokotel Oy,25.04.2022,,60.1696179,24.9472032,"Solo Sokos Hotel Helsinki, Kluuvikatu 8, 00100 Helsinki, Suomi",Solo Sokos Hotel Helsinki,8,Kluuvikatu,00100,Kluuvi,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
