original_asiakastunnus,original_lupanumero,original_nimi,original_katuosoite,original_postinumero,original_postitoimipaikka,original_kunta,original_asiakkaan-nimi,original_alkamispaivamaara,original_paattamispaivamaara,lat,lon,formatted,name,housenumber,street,postcode,suburb,county,district,city,state,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
2629669-8,1056638,Pizzeria Via Tribunali,Sofiankatu 4,170,HELSINKI,Helsinki,Pyöreän Pöydän Pääty Oy,12.04.2017,,60.1684753,24.952034,"Pizzeria Via Tribunali, Sofiankatu 4, 00170 Helsinki, Suomi",Pizzeria Via Tribunali,4,Sofiankatu,00170,Kruununhaka,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2542843-3,1049491,Jávri Lodge,Tievapolku 9,99830,SAARISELKÄ,Inari,Jalgadas Oy,16.02.2015,,68.41686874999999,27.418992364987407,"Tievapolku 9, 99830 Saariselkä, Suomi",,9,Tievapolku,99830,,,,Saariselkä,Lappi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3360979-5,30882474,Tornion Keilahalli,teollisuuskatu 8-10,95420,TORNIO,Tornio,Sinikkaset,01.08.2023,,65.8439519,24.1825263,"Polar-Asuste, Teollisuuskatu 8-10, 95420 Tornio, Suomi",Polar-Asuste,8-10,Teollisuuskatu,95420,Pikku-Berliini,,,Tornio,Lappi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2339837-3,30075282,Kotipizza Niittykumpu,Merituulentie 36,2200,ESPOO,Espoo,KN Company Oy,09.08.2022,,60.170114999999996,24.764037201895185,"Kauppakeskus Niitty, Merituulentie 36, 02200 Espoo, Suomi",Kauppakeskus Niitty,36,Merituulentie,02200,Niittykumpu,,Suur-Tapiola,Espoo,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2372155-6,1056256,Fazer Café AINOA,Länsituulentie 7 LT 2.L20,2100,ESPOO,Espoo,Fazer Ravintolat Oy,15.03.2017,,60.2049651,24.6559808,"Espoo (Espoo), Uusimaa, Suomi",,,,2100,,Uusimaa,Espoo,Espoo,Uusimaa,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2200737-7,1029528,Ravintola Viatoni,Kallioruohonpolku 2,1300,VANTAA,Vantaa,Ganga DK Trading Oy,17.07.2008,,60.30568627828062,25.022745406279377,"Kallioruohonpolku 2, 01300 Vantaa, Suomi",Kallioruohonpolku,2,Kallioruohonpolku,01300,Simonkylä,,Tikkurilan suuralue,Vantaa,Uusimaa,Suomi,fi,0.45,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3243204-3,1073554,B&B Korsman,Korsmaninkatu 46 C 10,10900,HANKO,Hanko,Majoitus ja Catering Hanko Oy,05.04.2022,,59.8271782,22.973807,"Korsmaninkatu 46, 10900 Hanko, Suomi",Korsmaninkatu,46,Korsmaninkatu,10900,Keskusta,,Tehtaanniemi,Hanko,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2362621-7,1037093,Bar Ihku Levi,Keskuskuja 3 A,99130,SIRKKA,Kittilä,Tunturiviihde Oy,01.02.2011,,67.80468075,24.80415808459214,"Keskuskuja 3, 99130 Sirkka, Suomi",,3,Keskuskuja,99130,,,,Sirkka,Lappi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3277491-6,30888128,Itsuyaki Ratina,Vuolteenkatu 1,33100,TAMPERE,Tampere,Nuzi Oy,01.07.2025,,61.4929076,23.7669191,"Instrumentarium, Vuolteenkatu 1, 33100 Tampere, Suomi",Instrumentarium,1,Vuolteenkatu,33100,Ratina,,Keskustan suuralue,Tampere,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2928771-1,30885393,Cafe Blanka,Mannerheimintie 95,270,HELSINKI,Helsinki,Tmi Patricia Lindqvist,01.09.2024,,60.1970788,24.9019409,"Mannerheimintie 95, 00270 Helsinki, Suomi",,95,Mannerheimintie,00270,Laakso,Uusimaa,Läntinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1761478-9,30884128,Kullo Golf Club,Golftie 119,6830,KULLOONKYLÄ,Porvoo,Kullo Golf Oy,15.04.2024,,60.3323,25.499732,"Golftie 119, 06830 Porvoo, Suomi",,119,Golftie,06830,,Uusimaa,,Porvoo,Etelä-Suomi,Suomi,fi,0.855,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
1582099-2,1074468,Kaurialan kenttä,Brahenkatu 2-4,13130,HÄMEENLINNA,Hämeenlinna,Hämeenlinnan Jalkapalloseura ry,06.06.2022,,60.994644928609766,24.440136028283714,"Brahenkatu, 13130 Hämeenlinna, Suomi",Brahenkatu,,Brahenkatu,13130,Kauriala,,Hämeenlinna,Hämeenlinna,Kanta-Häme,Suomi,fi,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2718333-7,1052315,8Baari,Ylioppilaankatu 6-8,33720,TAMPERE,Tampere,Tmi Perin,01.01.2016,,61.4469317,23.8321988,"Hervannan Eläinlääkärit, Ylioppilaankatu 6-8, 33720 Tampere, Suomi",Hervannan Eläinlääkärit,6-8,Ylioppilaankatu,33720,Hervanta,,Kaakkoinen suuralue,Tampere,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1716563-7,1074378,Ravintola Capri,Keskusraitti 2,5200,RAJAMÄKI,Nurmijärvi,Tunc Kardesler Oy,11.05.2022,,60.5280426,24.7555354,"Ipanalle, Keskusraitti 2, 05200 Rajamäki, Suomi",Ipanalle,2,Keskusraitti,05200,Rajamäki,,,Rajamäki,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1080565-4,30472779,Restaurant Captain Hook Finland,Kehräsaari 101,33200,TAMPERE,Tampere,Suomen Siipiravintolat Oy,06.04.2018,,61.4955763,23.7633944,"Hook Tampere, Kehräsaaren satamakuja 101, 33200 Tampere, Suomi",Hook Tampere,101,Kehräsaaren satamakuja,33200,Nalkala,Pirkanmaa,Keskustan suuralue,Tampere,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2971937-7,30885948,Bar 52,Heikkiläntie 2,210,HELSINKI,Helsinki,Avinoor Oy,17.10.2024,,60.1543194,24.8799804,"Bar '52, Heikkiläntie 2, 00210 Helsinki, Suomi",Bar '52,2,Heikkiläntie,00210,Lauttasaari,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2905048-2,1062558,Teatteriravintola ILO,Kauppakeskus Akseli,50100,MIKKELI,Mikkeli,Ohjelmatalo Näytellä ja Näprätä Oy,28.09.2018,,61.689113,27.273858,"Kauppakeskus Stella, 50100 Mikkeli, Suomi",,,Kauppakeskus Stella,50100,,Etelä-Savo,Mikkeli,Mikkeli,Itä-Suomi,Suomi,fi,0.16666666666666666,1,0.16666666666666666,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2245018-4,1060881,Opetusravintola Woitto,Tiedepuisto 3,28600,PORI,Pori,Länsirannikon Koulutus Oy,01.08.2018,,61.4932304,21.7254673,"WinNova, Tiedepuisto 3, 28600 Pori, Suomi",WinNova,3,Tiedepuisto,28600,Vähärauma,,,Pori,Satakunta,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2952108-8,1063690,Bar Llamas,Iso Roobertinkatu 14,120,HELSINKI,Helsinki,Calluna Ravintolat Oy,07.02.2019,,60.1634565,24.9424003,"Bar Llamas, Iso Roobertinkatu 14, 00120 Helsinki, Suomi",Bar Llamas,14,Iso Roobertinkatu,00120,Punavuori,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2241034-2,1048355,Cafe&Bar Petisco,Tehtaankatu 38,150,HELSINKI,Helsinki,AatuBar Oy,09.09.2014,,60.1576583,24.9347707,"Osteria dei Mancini, Tehtaankatu 38, 00150 Helsinki, Suomi",Osteria dei Mancini,38,Tehtaankatu,00150,Punavuori,Uusimaa,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3515811-5,30888192,Momentine Wine Bar,Sofiankatu 3,170,HELSINKI,Helsinki,Momentine Wine Bar Oy,21.07.2025,,60.1688122,24.952283,"Sofiankatu 3, 00170 Helsinki, Suomi",,3,Sofiankatu,00170,Kruununhaka,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2917861-1,30062756,Kortteliravintola Arvo,Puutarhakatu 34,20100,TURKU,Turku,Arvoravintolat Oy,20.04.2020,,60.4470273,22.2454182,"Arvo, Puutarhakatu 34, 20100 Turku, Suomi",Arvo,34,Puutarhakatu,20100,Keskusta,,Kakolanmäki,Turku,Varsinais-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3496171-5,30887913,Apex Food,Sammonkatu 44,33540,TAMPERE,Tampere,APEX Jakelu Oy,01.08.2025,,61.4960066,23.8040454,"Apex Food, Sammonkatu 44, 33540 Tampere, Suomi",Apex Food,44,Sammonkatu,33540,Kalevanrinne,,Keskustan suuralue,Tampere,Pirkanmaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3232475-5,1072967,Pepper Bar & Restaurant - kangasala,Kuohunharjuntie 26,36200,KANGASALA,Kangasala,Pepper Ravintolat Oy,01.01.2022,,61.4625215,24.076625,"Pizzeria Bene, Kuohunharjuntie 26, 36200 Kangasala, Suomi",Pizzeria Bene,26,Kuohunharjuntie,36200,Huhmari,,,Kangasala,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2745728-9,1052855,Ravintola Natura,Iso Roobertinkatu 11,120,HELSINKI,Helsinki,rCity Oy,01.04.2016,,60.1635113,24.9418972,"Iso Roobertinkatu 11, 00120 Helsinki, Suomi",,11,Iso Roobertinkatu,00120,Punavuori,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0944999-8,30888595,Kahvila-Ravintola Pinetto,Keinulaudantie 2 a,940,HELSINKI,Helsinki,Pika-Bangla Oy,01.09.2025,,60.2360683,25.0815062,"Keinulaudantie 2 a, 00940 Helsinki, Suomi",,2 a,Keinulaudantie,00940,Kontula,,Itäinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0658353-4,1045952,Metro Areenan ravintolat,Urheilupuistontie 3,2200,ESPOO,Espoo,Restel Ravintolat Oy,16.12.2013,,60.17780225,24.785946482692907,"Espoo Metro Areena, Urheilupuistontie 3, 02200 Espoo, Suomi",Espoo Metro Areena,3,Urheilupuistontie,02200,Tapiola,,Suur-Tapiola,Espoo,Uusimaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2579988-3,30068176,Ravintola Rouhe,Lompolontie 3,95970,ÄKÄSLOMPOLO,Kolari,Rouhe Ravintolat Oy,08.04.2020,,67.6054806,24.1391852,"Ravintola Rouhe, Lompolontie 3, 95970 Kolari, Suomi",Ravintola Rouhe,3,Lompolontie,95970,,,,Kolari,Lappi,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3585074-2,30889310,Iloinen Karhu,Ostoskatu 8-10,15500,LAHTI,Lahti,Iloinen Karhu Oy,01.01.2026,,60.961930073297616,25.66595855319242,"Ostoskatu, 15500 Lahti, Suomi",Ostoskatu,,Ostoskatu,15500,Liipola,Päijät-Häme,Lahti,Lahti,Päijät-Häme,Suomi,fi,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0750509-5,1051691,Kulosaaren Casino,Hopeasalmenpolku 1,570,HELSINKI,Helsinki,Royal Ravintolat Oy,02.01.2003,,60.1807489,25.006415690071147,"Hopeasalmenpolku 1, 00570 Helsinki, Suomi",,1,Hopeasalmenpolku,00570,Kulosaari,,Kaakkoinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2879132-6,1064659,Kotipizza Ylöjärvi,Elotie 1,33470,YLÖJÄRVI,Ylöjärvi,Heidu Oy,01.05.2019,,61.5581668,23.5716982,"Jula, Elotie 1, 33470 Ylöjärvi, Suomi",Jula,1,Elotie,33470,Elovainio,,,Ylöjärvi,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2028763-5,30883956,"Bageri&Café Carl de Mumma ",rådshustorget,10600,TAMMISAARI,Raasepori,Carl de Mumma Oy Ab,18.03.2024,,59.9746146,23.4357455,"10600 Tammisaari (Raasepori), Suomi",,,,10600,,,,Raasepori,Uusimaa,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1466064-0,1010079,Rutumin kartano,Hasselblattintie 5,7810,INGERMANINKYLÄ,Lapinjärvi,Rutumin Kartano Ky,14.06.2000,,60.60341,26.118773,"Hasselblattintie 5b, 07810 Lapinjärvi, Suomi",,5b,Hasselblattintie,07810,,Uusimaa,,Lapinjärvi,Etelä-Suomi,Suomi,fi,0.81225,1,1,0.95,© OpenAddresses contributors,BSD-3-Clause License,
3449368-3,30889056,NOA Villas,Korpijoentie 575,99550,ASKA,Sodankylä,Lappi Cabins Oy,01.12.2025,,67.290852,26.6948352,"Aska (Sodankylä), Lappi, Suomi",,,,,,,,Sodankylä,Lappi,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2523035-5,30043550,Ravintola Kibar`s Lavola,Merenlahdentie 12,53850,LAPPEENRANTA,Lappeenranta,SARIN KIOSKI-RAVINTOLAT OY,01.06.2020,,61.0456295,28.1102487,"KiBar's, Merenlahdentie 12, 53850 Lappeenranta, Suomi",KiBar's,12,Merenlahdentie,53850,Lavola,,,Lappeenranta,Etelä-Karjala,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1607413-5,1069028,Ravintola Sigyn,Linnankatu 60,20100,TURKU,Turku,Unica Oy,01.08.2020,,60.4382686,22.2385561,"Turun konservatorio, Linnankatu 60, 20100 Turku, Suomi",Turun konservatorio,60,Linnankatu,20100,Keskusta,,Linnanfältti,Turku,Varsinais-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3210837-4,30072103,Panorama Bar,Tahkomäentie 333,73310,TAHKOVUORI,Kuopio,Panorama Resort Oy,01.10.2021,,63.2936973,28.0013766,"Tahkomäentie 333, 73310 Kuopio, Suomi",Tahkomäentie,333,Tahkomäentie,73310,,,Nilsiä,Kuopio,Pohjois-Savo,Suomi,fi,0.64125,1,1,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3190724-6,30888173,Pallas,Karhulantie 36,48100,KOTKA,Kotka,Pat & Mat Oy,21.07.2025,,60.5145384,26.9311593,"Karhulantie 36, 48600 Kotka, Suomi",,36,Karhulantie,48600,Karhula,,Kolmikulma,Kotka,Kymenlaakso,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3510473-1,30888015,Ravintola Bamboo Bee,Aleksanterinkatu 15,15110,LAHTI,Lahti,FiliRest Oy,16.06.2025,,60.9828476,25.6573292,"K. I. Kaukon Kello ja Kulta, Aleksanterinkatu 15, 15110 Lahti, Suomi",K. I. Kaukon Kello ja Kulta,15,Aleksanterinkatu,15110,Keski-Lahti,,,Lahti,Päijät-Häme,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3443952-1,30885988,Osaka Teppanyaki,Koskikatu 25,96200,ROVANIEMI,Rovaniemi,Lilai Oy,01.12.2024,,66.5028901,25.725270093212337,"Kauppakeskus Rinteenkulma, Koskikatu 25, 96200 Rovaniemi, Suomi",Kauppakeskus Rinteenkulma,25,Koskikatu,96200,Keskusta,,,Rovaniemi,Lappi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3136967-9,30884321,Pearl,Kanavaranta 4,160,HELSINKI,Helsinki,MM Experience Oy,13.05.2024,,60.1690712,24.9634305,"Kanavaranta 4, 00160 Helsinki, Suomi",,4,Kanavaranta,00160,Katajanokka,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2854619-5,30058753,Pub Peräkammari,Eerikinkatu 2,100,HELSINKI,Helsinki,Erustus Oy,08.04.2020,,60.1677885,24.9372757,"Pub Peräkammari, Eerikinkatu 2, 00100 Helsinki, Suomi",Pub Peräkammari,2,Eerikinkatu,00100,Kamppi,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2979165-1,1066186,Koto Hotelli Pihtipudas,Keskustie 2,44800,PIHTIPUDAS,Pihtipudas,Koto Hotelli Pihtipudas Oy,01.09.2019,,63.369727,25.578962,"Keskustie 2, 44800 Pihtipudas, Suomi",,2,Keskustie,44800,,Keski-Suomi,Pihtipudas,Pihtipudas,Länsi ja Sisä-Suomi,Suomi,fi,0.9,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
0864235-8,1073474,Ravintola Wanha Satama,Matkustajasatama,70100,KUOPIO,Kuopio,Osuuskauppa PeeÄssä,29.04.1994,,62.8913783039886,27.684902863817662,"70100 Kuopio, Suomi",,,,70100,,,,Kuopio,Pohjois-Savo,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1009683-5,1876057,Laren Baari,Sihtuunantie 26,95590,TORNIO,Tornio,Laren Baari,01.12.2000,,66.02219214096111,24.394002329727037,"Sihtuunantie, 95590 Tornio, Suomi",Sihtuunantie,,Sihtuunantie,95590,,,,Tornio,Lappi,Suomi,fi,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3558174-9,30889077,Risky Business,Hämeenkatu 10,33100,TAMPERE,Tampere,Dive Bar Finland Oy,17.11.2025,,61.498603849999995,23.768122636342596,"Entinen Osuusliike Voiman toimitalo, Hämeenkatu 10, 33100 Tampere, Suomi",Entinen Osuusliike Voiman toimitalo,10,Hämeenkatu,33100,Kyttälä,,Keskustan suuralue,Tampere,Pirkanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2846526-4,1060378,Wonderland,Konepajankuja 1,510,HELSINKI,Helsinki,Williamshill Oy,08.05.2018,,60.191312,24.9491906,"Wonderland, Konepajankuja 1, 00510 Helsinki, Suomi",Wonderland,1,Konepajankuja,00510,Vallila,,Keskinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2654357-2,1049238,Mikko Utter,Kauppakatu 16 L16,8100,LOHJA,Lohja,Mikko Utter Oy,26.01.2015,,60.2508471,24.0668818,"Mikko Utter, Kauppakatu 16, 08100 Lohja, Suomi",Mikko Utter,16,Kauppakatu,08100,Ahtsalmi,,Lohja,Lohja,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3560683-8,30888940,Together we Bloom,"Kolmas linja 12 ",530,HELSINKI,Helsinki,Ladies who spa Oy,27.10.2025,,60.1823675,24.949012,"Kolmas linja 12, 00530 Helsinki, Suomi",,12,Kolmas linja,00530,Kallio,,Keskinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2758000-9,1058399,Laukaanhovi,Ruuhimäentie 1,41400,LIEVESTUORE,Laukaa,Ruokalandia Oy,16.09.2017,,62.2457844,26.135709,"Laukaanhovi, Ruuhimäentie 1, 41400 Lievestuore, Suomi",Laukaanhovi,1,Ruuhimäentie,41400,,,,Lievestuore,Keski-Suomi,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2601705-4,1046437,da Vinci Ristorante,Siltasaarenkatu 11 LH M3-M5,530,HELSINKI,Helsinki,Nako Oy,02.02.2016,,60.1666204,24.9435408,"Helsinki, Uusimaa, Suomi",,,,,,,,Helsinki,Uusimaa,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1576937-3,1170411,Harry's Bar & Café,Liisankatu 27,170,HELSINKI,Helsinki,JHG-Properties Oy,10.11.2000,,60.1741764,24.951923,"Liisankatu 27, 00170 Helsinki, Suomi",,27,Liisankatu,00170,Kruununhaka,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3180744-8,1070128,Ravintola Huhkajalampi,Räyskäläntie 311,12820,RÄYSKÄLÄ,Loppi,Ravintola Huhkajalampi Oy,21.01.2021,,60.7455074,24.1159438,"Räyskälän lentokenttä, Räyskäläntie 311, 12820 Loppi, Suomi",Räyskälän lentokenttä,311,Räyskäläntie,12820,,,,Loppi,Kanta-Häme,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2613470-1,30886973,Gota bar & bites,Toivonkatu 1-3,250,HELSINKI,Helsinki,Töölön Ravintolat Oy,22.04.2025,,60.1843259,24.9244059,"Gota bar & bites, Toivonkatu 1-3, 00250 Helsinki, Suomi",Gota bar & bites,1-3,Toivonkatu,00250,Töölö,,Eteläinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3402161-9,30888876,Ravinteli Bertha,Rautatienkatu 14,33100,TAMPERE,Tampere,Paparest Oy,03.11.2025,,61.498968,23.7713661,"Ravinteli Bertha, Rautatienkatu 14, 33100 Tampere, Suomi",Ravinteli Bertha,14,Rautatienkatu,33100,Kyttälä,,Keskustan suuralue,Tampere,Pirkanmaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2187680-2,1028592,Karhunpesä Kempele,Kauppatie 6,90440,KEMPELE,Kempele,Kempeleen Baarimestarit Oy,01.05.2008,,64.9123836,25.5067833,"Eläinlääkäriasema Nemo, Kauppatie 6, 90440 Kempele, Suomi",Eläinlääkäriasema Nemo,6,Kauppatie,90440,,,,Kempele,Pohjois-Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2874050-2,30070855,Bistro Vilja,Hatanpäänvaltatie 40,33900,TAMPERE,Tampere,Siuroviihde Oy,13.05.2021,,61.47209430880503,23.743285561949687,"33900 Tampere, Suomi",,,,33900,Härmälä,,Eteläinen suuralue,Tampere,Pirkanmaa,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3347207-1,30887429,Mr. Pastrami,Westendintie 99,2160,ESPOO,Espoo,Pit BBQ International Oy,05.05.2025,04.05.2026,60.1631231,24.7909733,"Mr. Pastrami, Westendintie 99, 02160 Espoo, Suomi",Mr. Pastrami,99,Westendintie,02160,Westend,,Suur-Tapiola,Espoo,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3403755-7,30883695,Madez Lounge Oy,Isokatu 15,67100,KOKKOLA,Kokkola,Madez Lounge Oy,18.02.2025,17.02.2026,63.8382383,23.1303688,"Isokatu 15, 67100 Kokkola, Suomi",,15,Isokatu,67100,Kosila,,,Kokkola,Keski-Pohjanmaa,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1914687-8,30019047,Vehnämyllyn automuseo ja juhlatalo,Erämäentie 368,43500,KARSTULA,Karstula,Wanhat Wehkeet Oy,29.03.2018,,62.9096317,24.8221881,"Erämäentie 368, 43500 Karstula, Suomi",Erämäentie,368,Erämäentie,43500,,,,Karstula,Keski-Suomi,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2954384-2,1063455,Kohtauspaikka Kajaani,Luomatie 123,88200,OTANMÄKI,Kajaani,Kohtauspaikka Kajaani,01.01.2019,,64.12742270000001,27.254508682106803,"SFC-kohtauspaikka, Luomatie 123, 88200 Kajaani, Suomi",SFC-kohtauspaikka,123,Luomatie,88200,,,,Kajaani,Kainuu,Suomi,fi,0.855,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
0932616-2,1010950,Neste Sotkamo,Kainuuntie 5,88600,SOTKAMO,Sotkamo,Hiukatti Oy,01.03.2018,,64.1299811,28.3805127,"Kainuuntie 5, 88600 Sotkamo, Suomi",Kainuuntie,5,Kainuuntie,88600,,,,Sotkamo,Kainuu,Suomi,fi,0.9,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2424500-2,1039194,Sivukirjasto,Fleminginkatu 5,530,HELSINKI,Helsinki,Taberna Arcus Oy,03.10.2011,,60.1843808,24.9533486,"Sivukirjasto, Fleminginkatu 5, 00530 Helsinki, Suomi",Sivukirjasto,5,Fleminginkatu,00530,Kallio,,Keskinen suurpiiri,Helsinki,Uusimaa,Suomi,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2074890-5,1024929,El Monte - Ruokaravintola,Tähtitie 1,73310,TAHKOVUORI,Kuopio,Nöyrärenki Oy,01.02.2007,,63.2879746,28.0409817,"K-Market, Tähtitie 1, 73310 Kuopio, Suomi",K-Market,1,Tähtitie,73310,,,Nilsiä,Kuopio,Pohjois-Savo,Suomi,fi,0.855,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2921869-5,1062276,Club Kapina,Keskuskatu 5,4600,MÄNTSÄLÄ,Mäntsälä,"Ersuar Group Oy ",01.09.2018,,60.5948803,22.9142833,"Mäntsälä (Marttila), Varsinais-Suomi, Suomi",,,,,,,,Marttila,Varsinais-Suomi,Suomi,fi,0.25,1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
